start_node,relation,end_node
POI/9448,PLA,Area/89
POI/9449,PLA,Area/89
POI/9450,PLA,Area/89
POI/9451,PLA,Area/89
POI/9452,PLA,Area/89
POI/9457,PLA,Area/89
POI/9458,PLA,Area/89
POI/9461,PLA,Area/89
POI/9464,PLA,Area/89
POI/9466,PLA,Area/89
POI/9467,PLA,Area/89
POI/9468,PLA,Area/89
POI/9469,PLA,Area/89
POI/9471,PLA,Area/89
POI/9472,PLA,Area/89
POI/9473,PLA,Area/89
POI/9474,PLA,Area/89
POI/9475,PLA,Area/89
POI/9476,PLA,Area/89
POI/9477,PLA,Area/89
POI/9478,PLA,Area/89
POI/9479,PLA,Area/89
POI/9480,PLA,Area/89
POI/9481,PLA,Area/89
POI/9482,PLA,Area/89
POI/9483,PLA,Area/89
POI/9484,PLA,Area/89
POI/9485,PLA,Area/89
POI/9486,PLA,Area/89
POI/9487,PLA,Area/89
POI/9488,PLA,Area/89
POI/9489,PLA,Area/89
POI/9490,PLA,Area/89
POI/10752,PLA,Area/33
POI/10753,PLA,Area/33
POI/10754,PLA,Area/33
POI/10798,PLA,Area/33
POI/10810,PLA,Area/142
POI/10821,PLA,Area/21
POI/10835,PLA,Area/21
POI/10843,PLA,Area/21
POI/10868,PLA,Area/21
POI/10889,PLA,Area/21
POI/10899,PLA,Area/21
POI/10900,PLA,Area/21
POI/10906,PLA,Area/21
POI/10910,PLA,Area/21
POI/10913,PLA,Area/21
POI/10939,PLA,Area/21
POI/10941,PLA,Area/21
POI/10955,PLA,Area/21
POI/10970,PLA,Area/21
POI/11873,PLA,Area/97
POI/11886,PLA,Area/97
POI/11891,PLA,Area/97
POI/11904,PLA,Area/97
POI/11910,PLA,Area/97
POI/11924,PLA,Area/97
POI/11928,PLA,Area/97
POI/11943,PLA,Area/97
POI/11944,PLA,Area/97
POI/11954,PLA,Area/97
POI/11964,PLA,Area/97
POI/11987,PLA,Area/97
POI/12000,PLA,Area/97
POI/12003,PLA,Area/97
POI/13148,PLA,Area/79
POI/13149,PLA,Area/79
POI/13150,PLA,Area/79
POI/13151,PLA,Area/79
POI/13152,PLA,Area/79
POI/13153,PLA,Area/79
POI/13154,PLA,Area/79
POI/13156,PLA,Area/79
POI/13157,PLA,Area/79
POI/13158,PLA,Area/79
POI/13159,PLA,Area/79
POI/13160,PLA,Area/79
POI/13161,PLA,Area/79
POI/13162,PLA,Area/79
POI/13163,PLA,Area/79
POI/13164,PLA,Area/79
POI/13165,PLA,Area/79
POI/13166,PLA,Area/79
POI/13167,PLA,Area/79
POI/13168,PLA,Area/79
POI/13169,PLA,Area/79
POI/13170,PLA,Area/79
POI/13171,PLA,Area/79
POI/13172,PLA,Area/79
POI/13173,PLA,Area/79
POI/13174,PLA,Area/79
POI/13175,PLA,Area/79
POI/13177,PLA,Area/79
POI/13178,PLA,Area/79
POI/13179,PLA,Area/79
POI/13180,PLA,Area/79
POI/13184,PLA,Area/79
POI/13185,PLA,Area/79
POI/13186,PLA,Area/79
POI/13187,PLA,Area/79
POI/13188,PLA,Area/79
POI/13189,PLA,Area/79
POI/13190,PLA,Area/79
POI/13191,PLA,Area/79
POI/13192,PLA,Area/79
POI/13193,PLA,Area/79
POI/13194,PLA,Area/79
POI/13195,PLA,Area/79
POI/13196,PLA,Area/79
POI/13197,PLA,Area/79
POI/13198,PLA,Area/79
POI/13199,PLA,Area/79
POI/13200,PLA,Area/79
POI/13201,PLA,Area/79
POI/13202,PLA,Area/79
POI/13203,PLA,Area/79
POI/13204,PLA,Area/79
POI/13205,PLA,Area/79
POI/13206,PLA,Area/79
POI/13207,PLA,Area/79
POI/13208,PLA,Area/79
POI/13210,PLA,Area/79
POI/13211,PLA,Area/79
POI/13212,PLA,Area/79
POI/13213,PLA,Area/79
POI/13214,PLA,Area/79
POI/13215,PLA,Area/79
POI/13216,PLA,Area/79
POI/13217,PLA,Area/79
POI/13218,PLA,Area/79
POI/13219,PLA,Area/79
POI/13220,PLA,Area/79
POI/13221,PLA,Area/79
POI/13222,PLA,Area/79
POI/13223,PLA,Area/79
POI/13224,PLA,Area/79
POI/13225,PLA,Area/79
POI/13226,PLA,Area/79
POI/13227,PLA,Area/79
POI/13228,PLA,Area/79
POI/13229,PLA,Area/79
POI/13230,PLA,Area/79
POI/13232,PLA,Area/79
POI/13233,PLA,Area/79
POI/13234,PLA,Area/79
POI/13235,PLA,Area/79
POI/13236,PLA,Area/79
POI/13237,PLA,Area/79
POI/13239,PLA,Area/79
POI/13240,PLA,Area/79
POI/13241,PLA,Area/79
POI/13242,PLA,Area/79
POI/13243,PLA,Area/79
POI/13245,PLA,Area/79
POI/13246,PLA,Area/79
POI/13247,PLA,Area/79
POI/13248,PLA,Area/79
POI/13249,PLA,Area/79
POI/15011,PLA,Area/89
POI/15618,PLA,Area/33
POI/15619,PLA,Area/33
POI/15620,PLA,Area/33
POI/15624,PLA,Area/33
POI/15625,PLA,Area/33
POI/15626,PLA,Area/33
POI/15627,PLA,Area/33
POI/15630,PLA,Area/33
POI/15636,PLA,Area/33
POI/15638,PLA,Area/33
POI/15646,PLA,Area/33
POI/15653,PLA,Area/33
POI/15655,PLA,Area/33
POI/15667,PLA,Area/33
POI/15669,PLA,Area/33
POI/15675,PLA,Area/33
POI/15681,PLA,Area/33
POI/15682,PLA,Area/33
POI/15686,PLA,Area/33
POI/15692,PLA,Area/33
POI/15696,PLA,Area/33
POI/15698,PLA,Area/33
POI/15701,PLA,Area/33
POI/15708,PLA,Area/33
POI/15712,PLA,Area/33
POI/15714,PLA,Area/33
POI/15715,PLA,Area/33
POI/15717,PLA,Area/33
POI/15719,PLA,Area/33
POI/15722,PLA,Area/33
POI/15724,PLA,Area/33
POI/15727,PLA,Area/33
POI/15728,PLA,Area/33
POI/15730,PLA,Area/33
POI/15734,PLA,Area/79
POI/15735,PLA,Area/79
POI/15736,PLA,Area/79
POI/15737,PLA,Area/79
POI/15738,PLA,Area/79
POI/15739,PLA,Area/79
POI/15740,PLA,Area/79
POI/15741,PLA,Area/79
POI/15742,PLA,Area/79
POI/15743,PLA,Area/79
POI/15744,PLA,Area/79
POI/15745,PLA,Area/79
POI/15746,PLA,Area/79
POI/15748,PLA,Area/79
POI/15749,PLA,Area/79
POI/15750,PLA,Area/79
POI/15751,PLA,Area/79
POI/15752,PLA,Area/79
POI/15753,PLA,Area/79
POI/15754,PLA,Area/79
POI/15755,PLA,Area/79
POI/15756,PLA,Area/79
POI/15757,PLA,Area/79
POI/15758,PLA,Area/79
POI/15759,PLA,Area/79
POI/15760,PLA,Area/79
POI/15762,PLA,Area/79
POI/15763,PLA,Area/79
POI/15764,PLA,Area/79
POI/15765,PLA,Area/79
POI/15766,PLA,Area/79
POI/15768,PLA,Area/79
POI/15769,PLA,Area/79
POI/15770,PLA,Area/79
POI/15771,PLA,Area/79
POI/15772,PLA,Area/79
POI/15773,PLA,Area/79
POI/15774,PLA,Area/79
POI/15775,PLA,Area/79
POI/15776,PLA,Area/79
POI/15777,PLA,Area/79
POI/15778,PLA,Area/79
POI/15779,PLA,Area/79
POI/15781,PLA,Area/79
POI/15782,PLA,Area/79
POI/15783,PLA,Area/79
POI/15784,PLA,Area/79
POI/15785,PLA,Area/79
POI/15786,PLA,Area/79
POI/15787,PLA,Area/79
POI/15788,PLA,Area/79
POI/15789,PLA,Area/79
POI/15791,PLA,Area/79
POI/15792,PLA,Area/79
POI/15794,PLA,Area/79
POI/15795,PLA,Area/79
POI/15796,PLA,Area/79
POI/15797,PLA,Area/79
POI/15799,PLA,Area/79
POI/15800,PLA,Area/79
POI/15801,PLA,Area/79
POI/15802,PLA,Area/79
POI/15804,PLA,Area/79
POI/15805,PLA,Area/79
POI/15806,PLA,Area/79
POI/15807,PLA,Area/79
POI/15808,PLA,Area/79
POI/15810,PLA,Area/79
POI/15811,PLA,Area/79
POI/15812,PLA,Area/79
POI/15813,PLA,Area/79
POI/15814,PLA,Area/79
POI/15816,PLA,Area/79
POI/15817,PLA,Area/79
POI/15818,PLA,Area/79
POI/15819,PLA,Area/79
POI/15820,PLA,Area/79
POI/15821,PLA,Area/79
POI/15822,PLA,Area/79
POI/15824,PLA,Area/79
POI/15825,PLA,Area/79
POI/15827,PLA,Area/79
POI/15829,PLA,Area/79
POI/15830,PLA,Area/79
POI/15831,PLA,Area/79
POI/18099,PLA,Area/255
POI/18100,PLA,Area/255
POI/18115,PLA,Area/255
POI/18151,PLA,Area/33
POI/18158,PLA,Area/33
POI/18165,PLA,Area/33
POI/18169,PLA,Area/33
POI/18172,PLA,Area/33
POI/18178,PLA,Area/255
POI/18179,PLA,Area/33
POI/18184,PLA,Area/33
POI/18187,PLA,Area/33
POI/18231,PLA,Area/255
POI/18239,PLA,Area/255
POI/18243,PLA,Area/255
POI/18253,PLA,Area/255
POI/18256,PLA,Area/255
POI/18264,PLA,Area/255
POI/18271,PLA,Area/33
POI/18276,PLA,Area/33
POI/18280,PLA,Area/33
POI/19015,PLA,Area/189
POI/19018,PLA,Area/189
POI/19020,PLA,Area/189
POI/19023,PLA,Area/189
POI/19026,PLA,Area/189
POI/19154,PLA,Area/181
POI/19220,PLA,Area/181
POI/20682,PLA,Area/33
POI/20727,PLA,Area/33
POI/20733,PLA,Area/33
POI/20755,PLA,Area/33
POI/20760,PLA,Area/33
POI/20766,PLA,Area/33
POI/20849,PLA,Area/33
POI/20932,PLA,Area/21
POI/20934,PLA,Area/21
POI/20975,PLA,Area/21
POI/20983,PLA,Area/21
POI/21004,PLA,Area/21
POI/21075,PLA,Area/21
POI/21088,PLA,Area/21
POI/21208,PLA,Area/21
POI/21238,PLA,Area/21
POI/21252,PLA,Area/21
POI/21274,PLA,Area/21
POI/21338,PLA,Area/21
POI/21570,PLA,Area/21
POI/21579,PLA,Area/21
POI/21596,PLA,Area/21
POI/21607,PLA,Area/21
POI/21616,PLA,Area/21
POI/21622,PLA,Area/21
POI/21624,PLA,Area/21
POI/21627,PLA,Area/21
POI/21628,PLA,Area/21
POI/21631,PLA,Area/21
POI/21635,PLA,Area/21
POI/21650,PLA,Area/89
POI/21670,PLA,Area/89
POI/21673,PLA,Area/89
POI/21676,PLA,Area/89
POI/21677,PLA,Area/89
POI/21682,PLA,Area/89
POI/21683,PLA,Area/89
POI/21684,PLA,Area/89
POI/21754,PLA,Area/89
POI/21801,PLA,Area/89
POI/22351,PLA,Area/89
POI/22352,PLA,Area/89
POI/22354,PLA,Area/89
POI/22355,PLA,Area/89
POI/22356,PLA,Area/89
POI/22357,PLA,Area/89
POI/22358,PLA,Area/89
POI/22359,PLA,Area/89
POI/22360,PLA,Area/89
POI/22361,PLA,Area/89
POI/22362,PLA,Area/89
POI/22363,PLA,Area/89
POI/22364,PLA,Area/89
POI/22365,PLA,Area/89
POI/22366,PLA,Area/89
POI/22367,PLA,Area/89
POI/22368,PLA,Area/89
POI/22369,PLA,Area/89
POI/22370,PLA,Area/89
POI/22375,PLA,Area/89
POI/23087,PLA,Area/89
POI/23096,PLA,Area/89
POI/23216,PLA,Area/55
POI/24088,PLA,Area/79
POI/24090,PLA,Area/79
POI/24091,PLA,Area/79
POI/24093,PLA,Area/79
POI/24094,PLA,Area/79
POI/24095,PLA,Area/79
POI/24096,PLA,Area/79
POI/24098,PLA,Area/79
POI/24099,PLA,Area/79
POI/24100,PLA,Area/79
POI/24101,PLA,Area/79
POI/24102,PLA,Area/79
POI/24103,PLA,Area/79
POI/24104,PLA,Area/79
POI/24105,PLA,Area/79
POI/24106,PLA,Area/79
POI/24108,PLA,Area/79
POI/24109,PLA,Area/79
POI/24110,PLA,Area/79
POI/24111,PLA,Area/79
POI/24112,PLA,Area/79
POI/24113,PLA,Area/79
POI/24114,PLA,Area/79
POI/24115,PLA,Area/79
POI/24116,PLA,Area/79
POI/24117,PLA,Area/79
POI/24118,PLA,Area/79
POI/24119,PLA,Area/79
POI/24120,PLA,Area/79
POI/24121,PLA,Area/79
POI/24122,PLA,Area/79
POI/24123,PLA,Area/79
POI/24124,PLA,Area/79
POI/24125,PLA,Area/79
POI/24127,PLA,Area/79
POI/24128,PLA,Area/79
POI/24129,PLA,Area/79
POI/24130,PLA,Area/79
POI/24132,PLA,Area/79
POI/24133,PLA,Area/79
POI/24134,PLA,Area/79
POI/24135,PLA,Area/79
POI/24136,PLA,Area/79
POI/24137,PLA,Area/79
POI/24138,PLA,Area/79
POI/24139,PLA,Area/79
POI/24140,PLA,Area/79
POI/24141,PLA,Area/79
POI/24142,PLA,Area/79
POI/24143,PLA,Area/79
POI/24144,PLA,Area/79
POI/24145,PLA,Area/79
POI/24146,PLA,Area/79
POI/24147,PLA,Area/79
POI/24148,PLA,Area/79
POI/24149,PLA,Area/79
POI/24150,PLA,Area/79
POI/24151,PLA,Area/79
POI/24152,PLA,Area/79
POI/24153,PLA,Area/79
POI/24154,PLA,Area/79
POI/24155,PLA,Area/79
POI/24156,PLA,Area/79
POI/24157,PLA,Area/79
POI/24158,PLA,Area/79
POI/24160,PLA,Area/79
POI/24161,PLA,Area/79
POI/24162,PLA,Area/79
POI/24163,PLA,Area/79
POI/24164,PLA,Area/79
POI/24165,PLA,Area/79
POI/24166,PLA,Area/79
POI/24167,PLA,Area/79
POI/24169,PLA,Area/79
POI/24170,PLA,Area/79
POI/24172,PLA,Area/79
POI/24174,PLA,Area/79
POI/24176,PLA,Area/79
POI/24177,PLA,Area/79
POI/24179,PLA,Area/79
POI/24180,PLA,Area/79
POI/24181,PLA,Area/79
POI/24182,PLA,Area/79
POI/24183,PLA,Area/79
POI/24184,PLA,Area/79
POI/24185,PLA,Area/79
POI/24186,PLA,Area/79
POI/24452,PLA,Area/33
POI/24484,PLA,Area/97
POI/24492,PLA,Area/97
POI/24498,PLA,Area/97
POI/24580,PLA,Area/97
POI/24604,PLA,Area/97
POI/24610,PLA,Area/97
POI/24622,PLA,Area/97
POI/24638,PLA,Area/97
POI/24650,PLA,Area/97
POI/24812,PLA,Area/21
POI/27560,PLA,Area/33
POI/29061,PLA,Area/55
POI/29062,PLA,Area/55
POI/42683,PLA,Area/33
POI/42711,PLA,Area/33
POI/42845,PLA,Area/33
POI/43022,PLA,Area/52
POI/43024,PLA,Area/52
POI/48060,PLA,Area/25
POI/48066,PLA,Area/25
POI/110587,PLA,Area/76
POI/110588,PLA,Area/76
POI/153509,PLA,Area/134
POI/153510,PLA,Area/134
POI/153654,PLA,Area/134
POI/156014,PLA,Area/197
POI/169845,PLA,Area/191
POI/183006,PLA,Area/191
POI/183330,PLA,Area/113
POI/183331,PLA,Area/113
POI/183332,PLA,Area/113
POI/183333,PLA,Area/79
POI/183334,PLA,Area/79
POI/183335,PLA,Area/79
POI/183336,PLA,Area/79
POI/183337,PLA,Area/79
POI/183338,PLA,Area/79
POI/183339,PLA,Area/79
POI/183341,PLA,Area/79
POI/183342,PLA,Area/79
POI/183343,PLA,Area/79
POI/183344,PLA,Area/79
POI/183345,PLA,Area/79
POI/183346,PLA,Area/79
POI/183348,PLA,Area/79
POI/183350,PLA,Area/79
POI/183353,PLA,Area/79
POI/183357,PLA,Area/79
POI/183358,PLA,Area/79
POI/183360,PLA,Area/113
POI/183363,PLA,Area/113
POI/183366,PLA,Area/113
POI/183367,PLA,Area/113
POI/183369,PLA,Area/113
POI/183375,PLA,Area/113
POI/183377,PLA,Area/79
POI/183379,PLA,Area/79
POI/183381,PLA,Area/79
POI/183382,PLA,Area/79
POI/183383,PLA,Area/79
POI/183384,PLA,Area/79
POI/183385,PLA,Area/79
POI/183386,PLA,Area/79
POI/183387,PLA,Area/79
POI/183388,PLA,Area/79
POI/183389,PLA,Area/79
POI/183390,PLA,Area/79
POI/183392,PLA,Area/79
POI/183393,PLA,Area/79
POI/183394,PLA,Area/79
POI/183395,PLA,Area/79
POI/183396,PLA,Area/79
POI/183398,PLA,Area/113
POI/183399,PLA,Area/113
POI/183400,PLA,Area/79
POI/183401,PLA,Area/79
POI/183402,PLA,Area/113
POI/183403,PLA,Area/113
POI/183404,PLA,Area/113
POI/183405,PLA,Area/113
POI/183406,PLA,Area/113
POI/183408,PLA,Area/113
POI/183410,PLA,Area/79
POI/183411,PLA,Area/79
POI/183414,PLA,Area/113
POI/183415,PLA,Area/113
POI/183417,PLA,Area/79
POI/183418,PLA,Area/79
POI/183419,PLA,Area/79
POI/183420,PLA,Area/79
POI/183422,PLA,Area/79
POI/183423,PLA,Area/79
POI/183424,PLA,Area/79
POI/183425,PLA,Area/79
POI/183426,PLA,Area/79
POI/183427,PLA,Area/79
POI/183428,PLA,Area/113
POI/183429,PLA,Area/79
POI/183432,PLA,Area/113
POI/183433,PLA,Area/79
POI/183434,PLA,Area/79
POI/183438,PLA,Area/79
POI/183439,PLA,Area/79
POI/183441,PLA,Area/79
POI/183444,PLA,Area/79
POI/183445,PLA,Area/113
POI/183446,PLA,Area/79
POI/183447,PLA,Area/79
POI/183448,PLA,Area/79
POI/183449,PLA,Area/79
POI/183779,PLA,Area/114
POI/183782,PLA,Area/114
POI/183783,PLA,Area/114
POI/183785,PLA,Area/114
POI/183789,PLA,Area/114
POI/183794,PLA,Area/79
POI/183799,PLA,Area/114
POI/183803,PLA,Area/114
POI/183808,PLA,Area/114
POI/183812,PLA,Area/79
POI/183814,PLA,Area/114
POI/183815,PLA,Area/114
POI/183819,PLA,Area/79
POI/183821,PLA,Area/79
POI/183826,PLA,Area/114
POI/183828,PLA,Area/79
POI/183830,PLA,Area/114
POI/183832,PLA,Area/79
POI/183834,PLA,Area/114
POI/183836,PLA,Area/114
POI/183840,PLA,Area/114
POI/183842,PLA,Area/114
POI/183844,PLA,Area/114
POI/183846,PLA,Area/114
POI/183848,PLA,Area/114
POI/183850,PLA,Area/114
POI/183852,PLA,Area/114
POI/183856,PLA,Area/114
POI/183859,PLA,Area/114
POI/183861,PLA,Area/114
POI/183863,PLA,Area/114
POI/183864,PLA,Area/114
POI/183866,PLA,Area/79
POI/183868,PLA,Area/114
POI/183870,PLA,Area/114
POI/183872,PLA,Area/114
POI/183876,PLA,Area/114
POI/183878,PLA,Area/114
POI/183880,PLA,Area/114
POI/183882,PLA,Area/114
POI/183896,PLA,Area/114
POI/183901,PLA,Area/114
POI/183905,PLA,Area/114
POI/183915,PLA,Area/114
POI/183922,PLA,Area/79
POI/183924,PLA,Area/114
POI/183926,PLA,Area/114
POI/183928,PLA,Area/79
POI/183935,PLA,Area/114
POI/183947,PLA,Area/114
POI/183949,PLA,Area/114
POI/183950,PLA,Area/79
POI/183952,PLA,Area/79
POI/183954,PLA,Area/114
POI/183959,PLA,Area/79
POI/184332,PLA,Area/79
POI/184333,PLA,Area/79
POI/184334,PLA,Area/79
POI/184335,PLA,Area/79
POI/184336,PLA,Area/79
POI/184337,PLA,Area/79
POI/184338,PLA,Area/79
POI/184339,PLA,Area/79
POI/184341,PLA,Area/79
POI/184344,PLA,Area/79
POI/184345,PLA,Area/79
POI/184347,PLA,Area/79
POI/184348,PLA,Area/79
POI/184349,PLA,Area/79
POI/184350,PLA,Area/79
POI/184351,PLA,Area/79
POI/184352,PLA,Area/79
POI/184353,PLA,Area/79
POI/184354,PLA,Area/79
POI/184355,PLA,Area/79
POI/184356,PLA,Area/79
POI/184357,PLA,Area/79
POI/184358,PLA,Area/79
POI/184359,PLA,Area/79
POI/184360,PLA,Area/79
POI/184361,PLA,Area/79
POI/184362,PLA,Area/79
POI/184363,PLA,Area/79
POI/184364,PLA,Area/79
POI/184365,PLA,Area/79
POI/184366,PLA,Area/79
POI/184368,PLA,Area/79
POI/184369,PLA,Area/79
POI/184370,PLA,Area/79
POI/184371,PLA,Area/79
POI/184373,PLA,Area/79
POI/184374,PLA,Area/79
POI/184375,PLA,Area/79
POI/184376,PLA,Area/79
POI/184377,PLA,Area/79
POI/184378,PLA,Area/79
POI/184379,PLA,Area/79
POI/184380,PLA,Area/79
POI/184381,PLA,Area/79
POI/184382,PLA,Area/79
POI/184383,PLA,Area/79
POI/184385,PLA,Area/79
POI/184386,PLA,Area/79
POI/184388,PLA,Area/79
POI/184389,PLA,Area/79
POI/184390,PLA,Area/79
POI/184391,PLA,Area/79
POI/184392,PLA,Area/79
POI/184393,PLA,Area/79
POI/184394,PLA,Area/79
POI/184395,PLA,Area/79
POI/184396,PLA,Area/79
POI/184398,PLA,Area/79
POI/184399,PLA,Area/79
POI/184400,PLA,Area/79
POI/184401,PLA,Area/79
POI/184402,PLA,Area/79
POI/184403,PLA,Area/79
POI/184404,PLA,Area/79
POI/184405,PLA,Area/79
POI/184406,PLA,Area/79
POI/184407,PLA,Area/79
POI/184408,PLA,Area/79
POI/184409,PLA,Area/79
POI/184410,PLA,Area/79
POI/184411,PLA,Area/79
POI/184412,PLA,Area/79
POI/184413,PLA,Area/79
POI/184414,PLA,Area/79
POI/184415,PLA,Area/79
POI/184416,PLA,Area/79
POI/184417,PLA,Area/79
POI/184419,PLA,Area/79
POI/184420,PLA,Area/79
POI/184422,PLA,Area/79
POI/184423,PLA,Area/79
POI/184426,PLA,Area/79
